"","Wavelength","Reflectance"
"1",350,0.19127
"2",351,0.18509
"3",352,0.18503
"4",353,0.17822
"5",354,0.1692
"6",355,0.16542
"7",356,0.16417
"8",357,0.16319
"9",358,0.1553
"10",359,0.15059
"11",360,0.15171
"12",361,0.14985
"13",362,0.14783
"14",363,0.14742
"15",364,0.14361
"16",365,0.13851
"17",366,0.13597
"18",367,0.13114
"19",368,0.12505
"20",369,0.12201
"21",370,0.11945
"22",371,0.11647
"23",372,0.11095
"24",373,0.10478
"25",374,0.099
"26",375,0.09955
"27",376,0.10192
"28",377,0.10229
"29",378,0.09936
"30",379,0.09619
"31",380,0.10132
"32",381,0.10159
"33",382,0.09685
"34",383,0.09676
"35",384,0.09501
"36",385,0.0901
"37",386,0.08532
"38",387,0.08109
"39",388,0.07795
"40",389,0.07733
"41",390,0.07634
"42",391,0.07176
"43",392,0.07011
"44",393,0.07022
"45",394,0.07033
"46",395,0.07029
"47",396,0.07012
"48",397,0.06988
"49",398,0.07062
"50",399,0.07205
"51",400,0.07159
"52",401,0.07205
"53",402,0.074
"54",403,0.07399
"55",404,0.07331
"56",405,0.07253
"57",406,0.07454
"58",407,0.07783
"59",408,0.08136
"60",409,0.08393
"61",410,0.08382
"62",411,0.07846
"63",412,0.07489
"64",413,0.0727
"65",414,0.07105
"66",415,0.07131
"67",416,0.0727
"68",417,0.07324
"69",418,0.07372
"70",419,0.07432
"71",420,0.07555
"72",421,0.07621
"73",422,0.07622
"74",423,0.07645
"75",424,0.07705
"76",425,0.07799
"77",426,0.07798
"78",427,0.07795
"79",428,0.07818
"80",429,0.07773
"81",430,0.07707
"82",431,0.07642
"83",432,0.07629
"84",433,0.07639
"85",434,0.07653
"86",435,0.07625
"87",436,0.07667
"88",437,0.07862
"89",438,0.07913
"90",439,0.0792
"91",440,0.07945
"92",441,0.07893
"93",442,0.07797
"94",443,0.07673
"95",444,0.07625
"96",445,0.07626
"97",446,0.07646
"98",447,0.07609
"99",448,0.07556
"100",449,0.07542
"101",450,0.07549
"102",451,0.07538
"103",452,0.07451
"104",453,0.07438
"105",454,0.07443
"106",455,0.07387
"107",456,0.07347
"108",457,0.07324
"109",458,0.07327
"110",459,0.07298
"111",460,0.07254
"112",461,0.07248
"113",462,0.07236
"114",463,0.07211
"115",464,0.07164
"116",465,0.07149
"117",466,0.07166
"118",467,0.07208
"119",468,0.0719
"120",469,0.07145
"121",470,0.07148
"122",471,0.0712
"123",472,0.07081
"124",473,0.07058
"125",474,0.07045
"126",475,0.07028
"127",476,0.06989
"128",477,0.0696
"129",478,0.06935
"130",479,0.06906
"131",480,0.06872
"132",481,0.06842
"133",482,0.06828
"134",483,0.06816
"135",484,0.06805
"136",485,0.06791
"137",486,0.06762
"138",487,0.06744
"139",488,0.06772
"140",489,0.06768
"141",490,0.0676
"142",491,0.06772
"143",492,0.068
"144",493,0.06833
"145",494,0.0686
"146",495,0.06875
"147",496,0.06899
"148",497,0.0694
"149",498,0.06966
"150",499,0.06998
"151",500,0.07043
"152",501,0.07102
"153",502,0.07166
"154",503,0.07234
"155",504,0.07345
"156",505,0.0746
"157",506,0.07571
"158",507,0.07693
"159",508,0.07825
"160",509,0.07973
"161",510,0.08171
"162",511,0.08372
"163",512,0.08575
"164",513,0.08787
"165",514,0.09032
"166",515,0.09308
"167",516,0.09608
"168",517,0.09904
"169",518,0.10202
"170",519,0.1051
"171",520,0.10863
"172",521,0.11226
"173",522,0.11565
"174",523,0.11896
"175",524,0.12231
"176",525,0.12575
"177",526,0.12898
"178",527,0.13207
"179",528,0.13503
"180",529,0.13792
"181",530,0.14045
"182",531,0.14258
"183",532,0.14455
"184",533,0.14649
"185",534,0.1483
"186",535,0.14958
"187",536,0.1508
"188",537,0.1519
"189",538,0.15266
"190",539,0.15336
"191",540,0.154
"192",541,0.15452
"193",542,0.15504
"194",543,0.15547
"195",544,0.15576
"196",545,0.15617
"197",546,0.15659
"198",547,0.15696
"199",548,0.15717
"200",549,0.15741
"201",550,0.15767
"202",551,0.15788
"203",552,0.15792
"204",553,0.15782
"205",554,0.15775
"206",555,0.15706
"207",556,0.1561
"208",557,0.15522
"209",558,0.15415
"210",559,0.15291
"211",560,0.15153
"212",561,0.14993
"213",562,0.14834
"214",563,0.14677
"215",564,0.14481
"216",565,0.14277
"217",566,0.14069
"218",567,0.13857
"219",568,0.13625
"220",569,0.13384
"221",570,0.13151
"222",571,0.12904
"223",572,0.12652
"224",573,0.12405
"225",574,0.12193
"226",575,0.11976
"227",576,0.11757
"228",577,0.11571
"229",578,0.11386
"230",579,0.11204
"231",580,0.11032
"232",581,0.10876
"233",582,0.10733
"234",583,0.10601
"235",584,0.10474
"236",585,0.10357
"237",586,0.10249
"238",587,0.10141
"239",588,0.10038
"240",589,0.09941
"241",590,0.09855
"242",591,0.09781
"243",592,0.09713
"244",593,0.09648
"245",594,0.09599
"246",595,0.09551
"247",596,0.095
"248",597,0.09457
"249",598,0.09415
"250",599,0.09369
"251",600,0.09312
"252",601,0.09257
"253",602,0.09199
"254",603,0.09134
"255",604,0.09067
"256",605,0.08992
"257",606,0.08907
"258",607,0.08811
"259",608,0.08718
"260",609,0.0862
"261",610,0.08509
"262",611,0.08395
"263",612,0.08277
"264",613,0.08156
"265",614,0.0805
"266",615,0.07942
"267",616,0.07837
"268",617,0.0774
"269",618,0.07648
"270",619,0.07566
"271",620,0.07496
"272",621,0.07426
"273",622,0.07364
"274",623,0.07311
"275",624,0.07265
"276",625,0.07237
"277",626,0.07217
"278",627,0.07199
"279",628,0.07186
"280",629,0.07164
"281",630,0.0714
"282",631,0.07129
"283",632,0.07112
"284",633,0.07087
"285",634,0.07054
"286",635,0.07002
"287",636,0.06943
"288",637,0.06878
"289",638,0.06803
"290",639,0.06732
"291",640,0.06653
"292",641,0.06561
"293",642,0.06481
"294",643,0.0639
"295",644,0.06292
"296",645,0.06198
"297",646,0.06113
"298",647,0.06034
"299",648,0.05958
"300",649,0.05882
"301",650,0.05816
"302",651,0.05761
"303",652,0.05716
"304",653,0.05659
"305",654,0.05607
"306",655,0.05558
"307",656,0.0551
"308",657,0.05461
"309",658,0.0541
"310",659,0.05357
"311",660,0.05306
"312",661,0.05256
"313",662,0.05211
"314",663,0.05176
"315",664,0.05148
"316",665,0.05126
"317",666,0.05112
"318",667,0.05109
"319",668,0.05121
"320",669,0.05141
"321",670,0.05165
"322",671,0.05191
"323",672,0.05232
"324",673,0.05282
"325",674,0.05334
"326",675,0.05385
"327",676,0.05454
"328",677,0.05538
"329",678,0.05622
"330",679,0.05709
"331",680,0.05803
"332",681,0.05901
"333",682,0.05992
"334",683,0.0608
"335",684,0.06174
"336",685,0.06278
"337",686,0.06393
"338",687,0.06515
"339",688,0.06673
"340",689,0.06881
"341",690,0.07116
"342",691,0.07441
"343",692,0.07841
"344",693,0.08305
"345",694,0.08884
"346",695,0.09503
"347",696,0.10196
"348",697,0.11004
"349",698,0.11795
"350",699,0.12672
"351",700,0.13619
"352",701,0.1458
"353",702,0.15472
"354",703,0.16421
"355",704,0.17375
"356",705,0.18255
"357",706,0.19198
"358",707,0.20146
"359",708,0.21054
"360",709,0.21898
"361",710,0.22801
"362",711,0.2371
"363",712,0.24615
"364",713,0.25514
"365",714,0.26328
"366",715,0.27185
"367",716,0.28074
"368",717,0.2894
"369",718,0.29741
"370",719,0.30566
