"","Wavelength","Reflectance"
"1",350,0.19979
"2",351,0.19855
"3",352,0.18003
"4",353,0.17429
"5",354,0.17507
"6",355,0.17362
"7",356,0.1663
"8",357,0.15706
"9",358,0.16111
"10",359,0.15928
"11",360,0.14682
"12",361,0.14256
"13",362,0.14397
"14",363,0.1501
"15",364,0.14919
"16",365,0.14325
"17",366,0.13378
"18",367,0.13128
"19",368,0.13286
"20",369,0.12643
"21",370,0.12037
"22",371,0.11674
"23",372,0.11235
"24",373,0.10847
"25",374,0.10575
"26",375,0.10574
"27",376,0.10533
"28",377,0.10113
"29",378,0.0984
"30",379,0.09761
"31",380,0.09925
"32",381,0.10071
"33",382,0.10089
"34",383,0.09656
"35",384,0.09395
"36",385,0.09438
"37",386,0.08979
"38",387,0.08479
"39",388,0.08166
"40",389,0.08031
"41",390,0.07888
"42",391,0.07527
"43",392,0.07409
"44",393,0.07415
"45",394,0.07326
"46",395,0.07445
"47",396,0.07656
"48",397,0.07482
"49",398,0.07539
"50",399,0.07829
"51",400,0.0776
"52",401,0.07728
"53",402,0.07833
"54",403,0.07942
"55",404,0.07999
"56",405,0.07959
"57",406,0.08098
"58",407,0.08383
"59",408,0.08799
"60",409,0.09236
"61",410,0.09368
"62",411,0.08721
"63",412,0.08308
"64",413,0.08094
"65",414,0.0803
"66",415,0.08025
"67",416,0.08046
"68",417,0.08045
"69",418,0.08104
"70",419,0.08202
"71",420,0.08263
"72",421,0.08286
"73",422,0.0827
"74",423,0.08207
"75",424,0.08205
"76",425,0.08283
"77",426,0.08214
"78",427,0.08171
"79",428,0.08206
"80",429,0.08122
"81",430,0.0801
"82",431,0.07907
"83",432,0.07935
"84",433,0.07966
"85",434,0.07904
"86",435,0.07922
"87",436,0.07991
"88",437,0.08092
"89",438,0.08162
"90",439,0.08172
"91",440,0.081
"92",441,0.08011
"93",442,0.07931
"94",443,0.07896
"95",444,0.07844
"96",445,0.07807
"97",446,0.07829
"98",447,0.0786
"99",448,0.07873
"100",449,0.07833
"101",450,0.07802
"102",451,0.07778
"103",452,0.07762
"104",453,0.07747
"105",454,0.07731
"106",455,0.07713
"107",456,0.07677
"108",457,0.07644
"109",458,0.07639
"110",459,0.07607
"111",460,0.0757
"112",461,0.07597
"113",462,0.07563
"114",463,0.07497
"115",464,0.07501
"116",465,0.07489
"117",466,0.07468
"118",467,0.07477
"119",468,0.07485
"120",469,0.07482
"121",470,0.07459
"122",471,0.07429
"123",472,0.07404
"124",473,0.07404
"125",474,0.07387
"126",475,0.07362
"127",476,0.07343
"128",477,0.07321
"129",478,0.07298
"130",479,0.07281
