"","Wavelength","Reflectance"
"1",350,0.21258
"2",351,0.2077
"3",352,0.20935
"4",353,0.19706
"5",354,0.18139
"6",355,0.18054
"7",356,0.18263
"8",357,0.1843
"9",358,0.17863
"10",359,0.17089
"11",360,0.16274
"12",361,0.15766
"13",362,0.15567
"14",363,0.157
"15",364,0.15381
"16",365,0.15002
"17",366,0.15371
"18",367,0.14879
"19",368,0.13938
"20",369,0.14441
"21",370,0.14118
"22",371,0.12487
"23",372,0.12148
"24",373,0.11981
"25",374,0.11497
"26",375,0.11274
"27",376,0.11121
"28",377,0.10853
"29",378,0.10814
"30",379,0.10882
"31",380,0.1066
"32",381,0.10834
"33",382,0.11233
"34",383,0.10539
"35",384,0.09955
"36",385,0.09786
"37",386,0.09417
"38",387,0.08991
"39",388,0.08557
"40",389,0.08357
"41",390,0.08239
"42",391,0.08073
"43",392,0.07864
"44",393,0.07682
"45",394,0.07665
"46",395,0.07649
"47",396,0.07605
"48",397,0.07478
"49",398,0.07403
"50",399,0.07427
"51",400,0.07639
"52",401,0.07755
"53",402,0.07698
"54",403,0.07715
"55",404,0.07715
"56",405,0.07658
"57",406,0.07713
"58",407,0.07875
"59",408,0.08146
"60",409,0.08645
"61",410,0.08924
"62",411,0.08344
"63",412,0.07956
"64",413,0.0771
"65",414,0.07502
"66",415,0.07489
"67",416,0.07596
"68",417,0.07612
"69",418,0.07725
"70",419,0.07894
"71",420,0.07938
"72",421,0.08043
"73",422,0.08205
"74",423,0.08249
"75",424,0.08265
"76",425,0.08281
"77",426,0.08353
"78",427,0.08408
"79",428,0.08416
"80",429,0.08423
"81",430,0.08376
"82",431,0.08269
"83",432,0.08321
"84",433,0.0841
"85",434,0.0845
"86",435,0.08479
"87",436,0.08558
"88",437,0.08733
"89",438,0.08893
"90",439,0.08967
"91",440,0.08899
"92",441,0.08776
"93",442,0.08678
"94",443,0.087
"95",444,0.08679
"96",445,0.08673
"97",446,0.08766
"98",447,0.08778
"99",448,0.08757
"100",449,0.08767
"101",450,0.08773
"102",451,0.08767
"103",452,0.0874
"104",453,0.08707
"105",454,0.08685
"106",455,0.087
"107",456,0.0867
"108",457,0.0863
"109",458,0.08626
"110",459,0.08621
"111",460,0.08614
"112",461,0.0861
"113",462,0.08609
"114",463,0.08614
"115",464,0.08637
"116",465,0.08624
"117",466,0.08597
"118",467,0.08626
"119",468,0.08656
"120",469,0.0866
"121",470,0.08593
"122",471,0.08604
"123",472,0.08644
"124",473,0.08643
"125",474,0.08618
"126",475,0.08587
"127",476,0.08576
"128",477,0.0857
"129",478,0.08564
"130",479,0.08552
"131",480,0.08542
"132",481,0.08535
"133",482,0.08534
"134",483,0.08517
"135",484,0.08501
"136",485,0.08511
"137",486,0.08505
"138",487,0.08498
"139",488,0.0851
"140",489,0.08498
"141",490,0.08501
"142",491,0.08545
"143",492,0.08545
"144",493,0.08552
"145",494,0.08604
"146",495,0.08639
"147",496,0.08658
"148",497,0.08665
"149",498,0.08686
"150",499,0.08724
"151",500,0.08782
"152",501,0.08836
"153",502,0.08888
"154",503,0.0894
"155",504,0.09013
"156",505,0.09094
"157",506,0.0918
"158",507,0.09274
"159",508,0.09384
"160",509,0.09507
"161",510,0.09614
"162",511,0.09763
"163",512,0.09942
"164",513,0.10114
"165",514,0.10301
"166",515,0.10504
"167",516,0.10725
"168",517,0.10967
"169",518,0.11223
"170",519,0.11483
"171",520,0.11765
"172",521,0.12062
"173",522,0.12362
"174",523,0.12632
"175",524,0.12907
"176",525,0.13212
"177",526,0.13508
"178",527,0.13789
"179",528,0.14048
"180",529,0.14308
"181",530,0.14553
"182",531,0.14777
"183",532,0.14966
"184",533,0.15151
"185",534,0.15327
"186",535,0.1546
"187",536,0.15586
"188",537,0.15708
"189",538,0.15826
"190",539,0.15922
"191",540,0.16004
"192",541,0.16082
"193",542,0.16136
"194",543,0.16189
"195",544,0.16262
"196",545,0.1632
"197",546,0.16375
"198",547,0.1643
"199",548,0.16473
"200",549,0.16524
"201",550,0.16579
"202",551,0.16603
"203",552,0.16627
"204",553,0.16641
"205",554,0.16626
"206",555,0.16589
"207",556,0.16536
"208",557,0.16475
"209",558,0.16398
"210",559,0.16309
"211",560,0.16209
"212",561,0.1609
"213",562,0.1597
"214",563,0.15849
"215",564,0.15705
"216",565,0.1555
"217",566,0.15392
"218",567,0.1524
"219",568,0.15056
"220",569,0.14863
"221",570,0.14687
"222",571,0.14489
"223",572,0.14283
"224",573,0.1408
"225",574,0.13912
"226",575,0.13741
"227",576,0.13567
"228",577,0.13413
"229",578,0.13268
"230",579,0.13127
"231",580,0.12977
"232",581,0.12853
"233",582,0.12744
"234",583,0.12645
"235",584,0.12535
"236",585,0.12438
"237",586,0.12357
"238",587,0.12279
"239",588,0.12198
"240",589,0.12122
"241",590,0.12063
"242",591,0.12013
"243",592,0.11965
"244",593,0.1192
"245",594,0.11884
"246",595,0.11845
"247",596,0.11807
"248",597,0.11785
"249",598,0.11757
"250",599,0.11722
"251",600,0.11688
"252",601,0.11648
"253",602,0.11608
"254",603,0.11568
"255",604,0.11518
"256",605,0.11454
"257",606,0.11381
"258",607,0.11324
"259",608,0.11246
"260",609,0.11159
"261",610,0.11077
"262",611,0.10986
"263",612,0.10888
"264",613,0.10791
"265",614,0.10707
"266",615,0.10619
"267",616,0.10531
"268",617,0.10456
"269",618,0.10383
"270",619,0.10314
"271",620,0.10253
"272",621,0.10209
"273",622,0.10166
"274",623,0.10125
"275",624,0.1009
"276",625,0.10064
"277",626,0.10044
"278",627,0.10029
"279",628,0.10012
"280",629,0.10016
"281",630,0.10025
"282",631,0.10012
"283",632,0.09997
"284",633,0.09978
"285",634,0.09955
"286",635,0.09931
"287",636,0.0989
"288",637,0.09839
"289",638,0.09795
"290",639,0.09737
"291",640,0.09675
"292",641,0.09613
"293",642,0.09549
"294",643,0.09468
"295",644,0.09382
"296",645,0.09312
"297",646,0.09242
"298",647,0.09174
"299",648,0.09108
"300",649,0.09048
"301",650,0.09001
"302",651,0.08953
"303",652,0.08891
"304",653,0.08851
"305",654,0.08805
"306",655,0.08754
"307",656,0.08713
"308",657,0.08665
"309",658,0.08608
"310",659,0.08543
"311",660,0.0848
"312",661,0.08414
"313",662,0.08349
"314",663,0.08292
"315",664,0.08249
"316",665,0.08202
"317",666,0.08156
"318",667,0.08127
"319",668,0.08096
"320",669,0.08076
"321",670,0.08069
"322",671,0.08073
"323",672,0.08073
"324",673,0.08072
"325",674,0.08075
"326",675,0.08086
"327",676,0.08117
"328",677,0.08151
"329",678,0.08171
"330",679,0.08215
"331",680,0.08267
"332",681,0.08321
"333",682,0.0838
"334",683,0.08458
"335",684,0.08549
"336",685,0.08652
"337",686,0.08777
"338",687,0.0892
"339",688,0.09095
"340",689,0.09311
"341",690,0.0956
"342",691,0.09877
"343",692,0.10239
"344",693,0.10633
"345",694,0.11127
"346",695,0.11657
"347",696,0.12246
"348",697,0.12921
"349",698,0.13596
"350",699,0.14348
"351",700,0.15163
"352",701,0.15994
"353",702,0.168
"354",703,0.17661
"355",704,0.18534
"356",705,0.19351
"357",706,0.20225
"358",707,0.21122
"359",708,0.22002
"360",709,0.22832
"361",710,0.23727
"362",711,0.2464
"363",712,0.25558
"364",713,0.26474
"365",714,0.27331
"366",715,0.28236
"367",716,0.29184
"368",717,0.30131
"369",718,0.31012
"370",719,0.31931
"371",720,0.32883
"372",721,0.33831
"373",722,0.34765
"374",723,0.35694
"375",724,0.36616
"376",725,0.37515
"377",726,0.38331
"378",727,0.3916
"379",728,0.39996
"380",729,0.4082
"381",730,0.41608
"382",731,0.42354
"383",732,0.43072
"384",733,0.43765
"385",734,0.44416
"386",735,0.45034
"387",736,0.45616
"388",737,0.46163
"389",738,0.46679
"390",739,0.47161
"391",740,0.47611
"392",741,0.48033
"393",742,0.48427
"394",743,0.48793
"395",744,0.4913
"396",745,0.49437
"397",746,0.49721
"398",747,0.49996
"399",748,0.50245
"400",749,0.50475
"401",750,0.50685
"402",751,0.50868
"403",752,0.51015
"404",753,0.51173
"405",754,0.51338
"406",755,0.51486
"407",756,0.51581
"408",757,0.51679
"409",758,0.51777
"410",759,0.51868
"411",760,0.51943
"412",761,0.52003
"413",762,0.52059
"414",763,0.521
"415",764,0.52133
"416",765,0.5218
"417",766,0.52197
"418",767,0.52205
"419",768,0.52219
"420",769,0.52242
"421",770,0.5226
"422",771,0.5227
"423",772,0.52287
"424",773,0.52309
"425",774,0.52321
"426",775,0.52302
"427",776,0.52296
"428",777,0.52303
"429",778,0.52311
"430",779,0.52311
"431",780,0.52321
"432",781,0.52321
"433",782,0.5231
"434",783,0.52299
"435",784,0.52303
"436",785,0.52316
"437",786,0.52311
"438",787,0.52309
"439",788,0.5231
"440",789,0.52301
"441",790,0.52303
"442",791,0.52297
"443",792,0.52292
"444",793,0.52288
"445",794,0.52277
"446",795,0.52277
"447",796,0.52279
"448",797,0.52278
"449",798,0.52273
"450",799,0.52267
"451",800,0.52276
"452",801,0.52278
"453",802,0.52267
"454",803,0.52259
"455",804,0.5226
"456",805,0.52254
"457",806,0.5226
"458",807,0.52253
"459",808,0.5223
"460",809,0.52218
"461",810,0.52253
"462",811,0.52252
"463",812,0.52249
"464",813,0.5224
"465",814,0.52242
"466",815,0.52253
"467",816,0.5224
"468",817,0.52246
"469",818,0.52251
"470",819,0.52244
"471",820,0.5224
"472",821,0.52245
"473",822,0.5223
"474",823,0.5224
"475",824,0.52235
"476",825,0.5223
"477",826,0.52231
"478",827,0.5223
"479",828,0.52217
"480",829,0.52209
"481",830,0.52211
"482",831,0.52217
"483",832,0.52211
"484",833,0.52191
"485",834,0.52187
"486",835,0.52188
"487",836,0.52187
"488",837,0.52183
"489",838,0.52178
"490",839,0.52173
"491",840,0.52166
"492",841,0.52167
"493",842,0.52152
"494",843,0.52141
"495",844,0.52149
"496",845,0.52161
"497",846,0.52162
"498",847,0.52156
"499",848,0.52153
"500",849,0.52123
"501",850,0.52123
"502",851,0.52126
"503",852,0.52124
"504",853,0.52128
"505",854,0.52145
"506",855,0.52149
"507",856,0.52124
"508",857,0.52127
"509",858,0.52107
"510",859,0.52085
"511",860,0.52095
"512",861,0.52117
"513",862,0.52098
"514",863,0.52109
"515",864,0.52103
"516",865,0.52079
"517",866,0.52086
"518",867,0.52083
"519",868,0.52051
"520",869,0.52048
"521",870,0.52054
"522",871,0.52045
"523",872,0.52017
"524",873,0.52017
"525",874,0.52014
"526",875,0.52009
"527",876,0.52014
"528",877,0.52013
"529",878,0.51997
"530",879,0.52003
"531",880,0.52002
"532",881,0.52006
"533",882,0.5201
"534",883,0.51974
"535",884,0.51957
"536",885,0.51962
"537",886,0.5194
"538",887,0.51937
"539",888,0.51934
"540",889,0.51935
"541",890,0.51901
"542",891,0.51896
"543",892,0.51909
"544",893,0.51886
"545",894,0.51878
"546",895,0.51886
"547",896,0.51881
"548",897,0.51877
"549",898,0.51888
"550",899,0.51858
"551",900,0.51878
"552",901,0.51863
"553",902,0.51821
"554",903,0.51798
"555",904,0.51829
"556",905,0.51791
"557",906,0.51771
"558",907,0.51795
"559",908,0.51792
"560",909,0.51774
"561",910,0.51779
"562",911,0.51764
"563",912,0.51764
"564",913,0.51734
"565",914,0.51729
"566",915,0.51703
"567",916,0.51724
"568",917,0.51727
"569",918,0.51722
"570",919,0.51702
"571",920,0.51694
"572",921,0.51678
"573",922,0.51645
"574",923,0.51634
"575",924,0.51616
"576",925,0.51597
"577",926,0.5162
"578",927,0.51615
"579",928,0.51576
"580",929,0.51538
"581",930,0.51505
"582",931,0.51502
"583",932,0.51501
"584",933,0.51508
"585",934,0.51471
"586",935,0.51421
"587",936,0.51417
"588",937,0.51402
"589",938,0.51381
"590",939,0.51358
"591",940,0.51317
"592",941,0.51278
"593",942,0.51269
"594",943,0.51262
"595",944,0.51176
"596",945,0.51232
"597",946,0.51146
"598",947,0.51124
"599",948,0.51057
"600",949,0.51036
"601",950,0.51019
"602",951,0.50999
"603",952,0.50906
"604",953,0.50906
"605",954,0.50878
"606",955,0.50797
"607",956,0.50734
"608",957,0.50728
"609",958,0.50687
"610",959,0.50674
"611",960,0.50682
"612",961,0.50651
"613",962,0.50574
"614",963,0.50592
"615",964,0.50577
"616",965,0.50584
"617",966,0.50533
"618",967,0.50601
"619",968,0.50484
"620",969,0.50494
"621",970,0.50461
"622",971,0.50465
"623",972,0.50411
"624",973,0.50444
"625",974,0.50468
"626",975,0.50422
"627",976,0.50429
"628",977,0.50393
"629",978,0.50411
"630",979,0.50411
"631",980,0.50433
"632",981,0.50392
"633",982,0.50298
"634",983,0.50241
"635",984,0.50226
"636",985,0.50097
"637",986,0.5021
"638",987,0.5028
"639",988,0.50295
"640",989,0.50403
"641",990,0.50521
"642",991,0.50601
"643",992,0.50723
"644",993,0.50908
"645",994,0.51072
"646",995,0.51249
"647",996,0.51382
"648",997,0.51533
"649",998,0.51618
"650",999,0.51719
"651",1000,0.51819
"652",1001,0.51921
"653",1002,0.52001
"654",1003,0.52077
"655",1004,0.52147
"656",1005,0.52209
"657",1006,0.5226
"658",1007,0.52302
"659",1008,0.52339
"660",1009,0.52377
"661",1010,0.52419
"662",1011,0.5246
"663",1012,0.52499
"664",1013,0.52532
"665",1014,0.52558
"666",1015,0.52578
"667",1016,0.52595
"668",1017,0.52608
"669",1018,0.52617
"670",1019,0.52622
"671",1020,0.52626
"672",1021,0.52632
"673",1022,0.52641
"674",1023,0.52651
"675",1024,0.52663
"676",1025,0.52675
"677",1026,0.52689
"678",1027,0.52704
"679",1028,0.5272
"680",1029,0.52735
"681",1030,0.5275
"682",1031,0.52766
"683",1032,0.52781
"684",1033,0.52794
"685",1034,0.52806
"686",1035,0.52817
"687",1036,0.52827
"688",1037,0.52837
"689",1038,0.52845
"690",1039,0.52852
"691",1040,0.52857
"692",1041,0.52861
"693",1042,0.52863
"694",1043,0.52863
"695",1044,0.52862
"696",1045,0.52863
"697",1046,0.52864
"698",1047,0.52865
"699",1048,0.52865
"700",1049,0.52865
"701",1050,0.52865
"702",1051,0.52865
"703",1052,0.52864
"704",1053,0.52862
"705",1054,0.52857
"706",1055,0.52852
"707",1056,0.5285
"708",1057,0.52852
"709",1058,0.52858
"710",1059,0.52866
"711",1060,0.52873
"712",1061,0.52878
"713",1062,0.52884
"714",1063,0.52888
"715",1064,0.52891
"716",1065,0.52893
"717",1066,0.52893
"718",1067,0.52892
"719",1068,0.52892
"720",1069,0.52895
"721",1070,0.52899
"722",1071,0.52902
"723",1072,0.52902
"724",1073,0.52895
"725",1074,0.52885
"726",1075,0.52874
"727",1076,0.52865
"728",1077,0.52859
"729",1078,0.52856
"730",1079,0.52853
"731",1080,0.52849
"732",1081,0.52847
"733",1082,0.52845
"734",1083,0.52842
"735",1084,0.52837
"736",1085,0.52827
"737",1086,0.52816
"738",1087,0.52804
"739",1088,0.52793
"740",1089,0.52783
"741",1090,0.52773
"742",1091,0.52763
"743",1092,0.52753
"744",1093,0.52742
"745",1094,0.52731
"746",1095,0.52719
"747",1096,0.52707
"748",1097,0.52694
"749",1098,0.52681
"750",1099,0.52668
"751",1100,0.52656
"752",1101,0.52646
"753",1102,0.52636
"754",1103,0.52624
"755",1104,0.52608
"756",1105,0.52588
"757",1106,0.52568
"758",1107,0.52554
"759",1108,0.5255
"760",1109,0.52556
"761",1110,0.52566
"762",1111,0.5257
"763",1112,0.52567
"764",1113,0.52562
"765",1114,0.52551
"766",1115,0.52533
"767",1116,0.52501
"768",1117,0.52456
"769",1118,0.52408
"770",1119,0.52369
"771",1120,0.52344
"772",1121,0.52327
"773",1122,0.52313
"774",1123,0.52301
"775",1124,0.52292
"776",1125,0.52286
"777",1126,0.52278
"778",1127,0.52258
"779",1128,0.52226
"780",1129,0.52186
"781",1130,0.5214
"782",1131,0.52093
"783",1132,0.52044
"784",1133,0.51991
"785",1134,0.51935
"786",1135,0.51874
"787",1136,0.51809
"788",1137,0.5174
"789",1138,0.51668
"790",1139,0.51593
"791",1140,0.51514
"792",1141,0.51433
"793",1142,0.5135
"794",1143,0.51268
"795",1144,0.51185
"796",1145,0.51101
"797",1146,0.51019
"798",1147,0.50938
"799",1148,0.50857
"800",1149,0.50778
"801",1150,0.50703
"802",1151,0.50633
"803",1152,0.50566
"804",1153,0.50504
"805",1154,0.50444
"806",1155,0.50388
"807",1156,0.50334
"808",1157,0.50284
"809",1158,0.50235
"810",1159,0.50188
"811",1160,0.50142
"812",1161,0.50099
"813",1162,0.50061
"814",1163,0.50027
"815",1164,0.49998
"816",1165,0.4997
"817",1166,0.49942
"818",1167,0.49915
"819",1168,0.49889
"820",1169,0.49863
"821",1170,0.49837
"822",1171,0.49812
"823",1172,0.49786
"824",1173,0.49762
"825",1174,0.4974
"826",1175,0.4972
"827",1176,0.49702
"828",1177,0.49684
"829",1178,0.49669
"830",1179,0.49656
"831",1180,0.49644
"832",1181,0.49632
"833",1182,0.49618
"834",1183,0.49603
"835",1184,0.49588
"836",1185,0.49573
"837",1186,0.49558
"838",1187,0.49543
"839",1188,0.49528
"840",1189,0.49513
"841",1190,0.49499
"842",1191,0.49485
"843",1192,0.49472
"844",1193,0.49459
"845",1194,0.49449
"846",1195,0.49439
"847",1196,0.4943
"848",1197,0.49423
"849",1198,0.49417
"850",1199,0.49412
"851",1200,0.49408
"852",1201,0.49406
"853",1202,0.49406
"854",1203,0.49407
"855",1204,0.49409
"856",1205,0.49412
"857",1206,0.49415
"858",1207,0.49419
"859",1208,0.49424
"860",1209,0.49428
"861",1210,0.49432
"862",1211,0.49437
"863",1212,0.49443
"864",1213,0.49451
"865",1214,0.49461
"866",1215,0.49471
"867",1216,0.4948
"868",1217,0.49487
"869",1218,0.49492
"870",1219,0.49496
"871",1220,0.49501
"872",1221,0.49506
"873",1222,0.4951
"874",1223,0.49516
"875",1224,0.49522
"876",1225,0.49529
"877",1226,0.49536
"878",1227,0.49544
"879",1228,0.49552
"880",1229,0.49559
"881",1230,0.49566
"882",1231,0.49573
"883",1232,0.49581
"884",1233,0.4959
"885",1234,0.49599
"886",1235,0.49608
"887",1236,0.49618
"888",1237,0.49628
"889",1238,0.49639
"890",1239,0.49648
"891",1240,0.49657
"892",1241,0.49665
"893",1242,0.49672
"894",1243,0.49678
"895",1244,0.49683
"896",1245,0.49685
"897",1246,0.49688
"898",1247,0.49691
"899",1248,0.49696
"900",1249,0.49701
"901",1250,0.49707
"902",1251,0.49715
"903",1252,0.49726
"904",1253,0.49738
"905",1254,0.49749
"906",1255,0.49759
"907",1256,0.49769
"908",1257,0.49778
"909",1258,0.49784
"910",1259,0.49788
"911",1260,0.49788
"912",1261,0.49786
"913",1262,0.49784
"914",1263,0.49785
"915",1264,0.49788
"916",1265,0.4979
"917",1266,0.49791
"918",1267,0.4979
"919",1268,0.49787
"920",1269,0.49782
"921",1270,0.49775
"922",1271,0.49763
"923",1272,0.49748
"924",1273,0.49733
"925",1274,0.49719
"926",1275,0.49707
"927",1276,0.49696
"928",1277,0.49686
"929",1278,0.49676
"930",1279,0.4967
"931",1280,0.49663
"932",1281,0.49655
"933",1282,0.49641
"934",1283,0.49623
"935",1284,0.49601
"936",1285,0.4958
"937",1286,0.49561
"938",1287,0.49542
"939",1288,0.49523
"940",1289,0.49502
"941",1290,0.49482
"942",1291,0.49461
"943",1292,0.49439
"944",1293,0.49413
"945",1294,0.49385
"946",1295,0.49353
"947",1296,0.4932
"948",1297,0.49286
"949",1298,0.49249
"950",1299,0.49211
"951",1300,0.49171
"952",1301,0.49128
"953",1302,0.49082
"954",1303,0.49034
"955",1304,0.48987
"956",1305,0.48941
"957",1306,0.48897
"958",1307,0.48852
"959",1308,0.48806
"960",1309,0.48759
"961",1310,0.48711
"962",1311,0.48661
"963",1312,0.48607
"964",1313,0.4855
"965",1314,0.48489
"966",1315,0.48426
"967",1316,0.48361
"968",1317,0.48294
"969",1318,0.48225
"970",1319,0.48153
"971",1320,0.48077
"972",1321,0.47998
"973",1322,0.47915
"974",1323,0.4783
"975",1324,0.47744
"976",1325,0.47656
"977",1326,0.47566
"978",1327,0.47477
"979",1328,0.47387
"980",1329,0.47297
"981",1330,0.47206
"982",1331,0.47117
"983",1332,0.47029
"984",1333,0.46942
"985",1334,0.46855
"986",1335,0.46763
"987",1336,0.46668
"988",1337,0.46571
"989",1338,0.46472
"990",1339,0.46372
"991",1340,0.46268
"992",1341,0.46163
"993",1342,0.46059
"994",1343,0.45959
"995",1344,0.45861
"996",1345,0.45764
"997",1346,0.45666
"998",1347,0.45565
"999",1348,0.45463
"1000",1349,0.4536
"1001",1350,0.45259
"1002",1351,0.45159
"1003",1352,0.45061
"1004",1353,0.44963
"1005",1354,0.44867
"1006",1355,0.44773
"1007",1356,0.44682
"1008",1357,0.44588
"1009",1358,0.4449
"1010",1359,0.44389
"1011",1360,0.44286
"1012",1361,0.44176
"1013",1362,0.4406
"1014",1363,0.43938
"1015",1364,0.4381
"1016",1365,0.43678
"1017",1366,0.43543
"1018",1367,0.43406
"1019",1368,0.43262
"1020",1369,0.43104
"1021",1370,0.42936
"1022",1371,0.42756
"1023",1372,0.42564
"1024",1373,0.42357
"1025",1374,0.42138
"1026",1375,0.41904
"1027",1376,0.41654
"1028",1377,0.41384
"1029",1378,0.41095
"1030",1379,0.40788
"1031",1380,0.40462
"1032",1381,0.40118
"1033",1382,0.39756
"1034",1383,0.39376
"1035",1384,0.38976
"1036",1385,0.38557
"1037",1386,0.38117
"1038",1387,0.3766
"1039",1388,0.37188
"1040",1389,0.36695
"1041",1390,0.36184
"1042",1391,0.35668
"1043",1392,0.35154
"1044",1393,0.34638
"1045",1394,0.3412
"1046",1395,0.33604
"1047",1396,0.33092
"1048",1397,0.32581
"1049",1398,0.32074
"1050",1399,0.31573
"1051",1400,0.31078
"1052",1401,0.30586
"1053",1402,0.30106
"1054",1403,0.29646
"1055",1404,0.29204
"1056",1405,0.28779
"1057",1406,0.28366
"1058",1407,0.27964
"1059",1408,0.27572
"1060",1409,0.27194
"1061",1410,0.26833
"1062",1411,0.26493
"1063",1412,0.26174
"1064",1413,0.2587
"1065",1414,0.25578
"1066",1415,0.25295
"1067",1416,0.25024
"1068",1417,0.24768
"1069",1418,0.24528
"1070",1419,0.24307
"1071",1420,0.24101
"1072",1421,0.23906
"1073",1422,0.23715
"1074",1423,0.23532
"1075",1424,0.23358
"1076",1425,0.23193
"1077",1426,0.23041
"1078",1427,0.229
"1079",1428,0.22768
"1080",1429,0.22644
"1081",1430,0.22528
"1082",1431,0.22421
"1083",1432,0.22321
"1084",1433,0.22227
"1085",1434,0.2214
"1086",1435,0.22059
"1087",1436,0.21983
"1088",1437,0.21912
"1089",1438,0.21845
"1090",1439,0.21782
"1091",1440,0.21727
"1092",1441,0.2168
"1093",1442,0.21641
"1094",1443,0.21608
"1095",1444,0.21578
"1096",1445,0.21553
"1097",1446,0.21532
"1098",1447,0.21514
"1099",1448,0.21496
"1100",1449,0.21479
"1101",1450,0.21464
"1102",1451,0.21451
"1103",1452,0.21441
"1104",1453,0.21433
"1105",1454,0.21428
"1106",1455,0.21428
"1107",1456,0.21433
"1108",1457,0.21443
"1109",1458,0.21457
"1110",1459,0.21476
"1111",1460,0.215
"1112",1461,0.21528
"1113",1462,0.21562
"1114",1463,0.21602
"1115",1464,0.21648
"1116",1465,0.21701
