"","Wavelength","Reflectance"
"1",350,0.20901
"2",351,0.20132
"3",352,0.20407
"4",353,0.19756
"5",354,0.18731
"6",355,0.18181
"7",356,0.18073
"8",357,0.18169
"9",358,0.17775
"10",359,0.17217
"11",360,0.16587
"12",361,0.16223
"13",362,0.16029
"14",363,0.15949
"15",364,0.15543
"16",365,0.1507
"17",366,0.14998
"18",367,0.14866
"19",368,0.14539
"20",369,0.13637
"21",370,0.12889
"22",371,0.12507
"23",372,0.1207
"24",373,0.11705
"25",374,0.11466
"26",375,0.11261
"27",376,0.11081
"28",377,0.10903
"29",378,0.10838
"30",379,0.1088
"31",380,0.11036
"32",381,0.10943
"33",382,0.10647
"34",383,0.10696
"35",384,0.10684
"36",385,0.10483
"37",386,0.10047
"38",387,0.09541
"39",388,0.09062
"40",389,0.08861
"41",390,0.08702
"42",391,0.08339
"43",392,0.08353
"44",393,0.08489
"45",394,0.08283
"46",395,0.08227
"47",396,0.08309
"48",397,0.08379
"49",398,0.08478
"50",399,0.08606
"51",400,0.08761
"52",401,0.08777
"53",402,0.08638
"54",403,0.08847
"55",404,0.09012
"56",405,0.08927
"57",406,0.08998
"58",407,0.09246
"59",408,0.09698
"60",409,0.10159
"61",410,0.10302
"62",411,0.09642
"63",412,0.09341
"64",413,0.09249
"65",414,0.09097
"66",415,0.091
"67",416,0.09188
"68",417,0.09151
"69",418,0.09242
"70",419,0.09425
"71",420,0.09544
"72",421,0.09592
"73",422,0.09572
"74",423,0.0951
"75",424,0.09532
"76",425,0.09661
"77",426,0.09612
"78",427,0.09565
"79",428,0.09577
"80",429,0.09489
"81",430,0.09425
"82",431,0.09426
"83",432,0.09408
"84",433,0.09387
"85",434,0.09372
"86",435,0.09366
"87",436,0.09413
"88",437,0.09544
"89",438,0.09663
"90",439,0.09694
"91",440,0.09576
"92",441,0.09462
"93",442,0.09368
"94",443,0.09317
"95",444,0.09321
"96",445,0.09344
"97",446,0.09335
"98",447,0.09294
"99",448,0.0926
"100",449,0.09292
"101",450,0.09268
"102",451,0.09222
"103",452,0.09205
"104",453,0.0919
"105",454,0.09174
"106",455,0.09152
"107",456,0.09108
"108",457,0.09067
"109",458,0.09065
"110",459,0.09032
"111",460,0.08986
"112",461,0.08976
"113",462,0.08986
"114",463,0.08993
"115",464,0.0894
"116",465,0.08959
"117",466,0.09008
"118",467,0.08961
"119",468,0.08947
"120",469,0.08962
"121",470,0.08971
"122",471,0.08941
"123",472,0.08904
"124",473,0.08903
"125",474,0.08894
"126",475,0.08878
"127",476,0.08852
"128",477,0.08829
"129",478,0.08814
"130",479,0.0881
"131",480,0.0878
"132",481,0.08744
"133",482,0.08733
"134",483,0.08725
"135",484,0.08717
"136",485,0.08708
"137",486,0.08709
"138",487,0.08703
"139",488,0.08668
"140",489,0.08674
"141",490,0.08686
"142",491,0.0868
"143",492,0.08696
"144",493,0.08713
"145",494,0.08717
"146",495,0.08738
"147",496,0.08761
"148",497,0.08778
"149",498,0.08786
"150",499,0.08802
"151",500,0.0883
"152",501,0.08853
"153",502,0.08897
"154",503,0.08967
"155",504,0.09009
"156",505,0.09055
"157",506,0.09116
"158",507,0.092
"159",508,0.09279
"160",509,0.09356
"161",510,0.09469
"162",511,0.09584
"163",512,0.09707
"164",513,0.09868
"165",514,0.10022
"166",515,0.10179
"167",516,0.10377
"168",517,0.10574
"169",518,0.10777
"170",519,0.11001
"171",520,0.11243
"172",521,0.11487
"173",522,0.11718
"174",523,0.1197
"175",524,0.12231
"176",525,0.12492
"177",526,0.12732
"178",527,0.12965
"179",528,0.13194
"180",529,0.13408
"181",530,0.13601
"182",531,0.13776
"183",532,0.13946
"184",533,0.14093
"185",534,0.14219
"186",535,0.14351
"187",536,0.14449
"188",537,0.14525
"189",538,0.14615
"190",539,0.14672
"191",540,0.1472
"192",541,0.14787
"193",542,0.14821
"194",543,0.14855
"195",544,0.14913
"196",545,0.14943
"197",546,0.14974
"198",547,0.15014
"199",548,0.15048
"200",549,0.15079
"201",550,0.15106
"202",551,0.15122
"203",552,0.15126
"204",553,0.15118
"205",554,0.151
"206",555,0.15058
"207",556,0.15002
"208",557,0.14946
"209",558,0.1486
"210",559,0.14764
"211",560,0.14669
"212",561,0.14549
"213",562,0.14429
